lambda,non_zero_coefs,test_r2,test_mse
10000.0,0,-0.0015959109872072386,154.28369501477138
8497.534359086447,0,-0.0015959109872072386,154.28369501477138
7220.809018385464,0,-0.0015959109872072386,154.28369501477138
6135.907273413176,0,-0.0015959109872072386,154.28369501477138
5214.008287999684,0,-0.0015959109872072386,154.28369501477138
4430.621457583882,0,-0.0015959109872072386,154.28369501477138
3764.9358067924672,0,-0.0015959109872072386,154.28369501477138
3199.2671377973843,0,-0.0015959109872072386,154.28369501477138
2718.58824273294,0,-0.0015959109872072386,154.28369501477138
2310.1297000831605,0,-0.0015959109872072386,154.28369501477138
1963.0406500402705,0,-0.0015959109872072386,154.28369501477138
1668.100537200059,0,-0.0015959109872072386,154.28369501477138
1417.4741629268049,0,-0.0015959109872072386,154.28369501477138
1204.5035402587823,0,-0.0015959109872072386,154.28369501477138
1023.5310218990269,0,-0.0015959109872072386,154.28369501477138
869.7490026177834,0,-0.0015959109872072386,154.28369501477138
739.0722033525775,0,-0.0015959109872072386,154.28369501477138
628.0291441834253,0,-0.0015959109872072386,154.28369501477138
533.6699231206312,0,-0.0015959109872072386,154.28369501477138
453.4878508128582,0,-0.0015959109872072386,154.28369501477138
385.3528593710527,0,-0.0015959109872072386,154.28369501477138
327.45491628777285,0,-0.0015959109872072386,154.28369501477138
278.2559402207126,0,-0.0015959109872072386,154.28369501477138
236.4489412645407,0,-0.0015959109872072386,154.28369501477138
200.9233002565048,0,-0.0015959109872072386,154.28369501477138
170.7352647470692,0,-0.0015959109872072386,154.28369501477138
145.082877849594,0,-0.0015959109872072386,154.28369501477138
123.28467394420659,0,-0.0015959109872072386,154.28369501477138
104.76157527896652,0,-0.0015959109872072386,154.28369501477138
89.02150854450383,0,-0.0015959109872072386,154.28369501477138
75.64633275546291,0,-0.0015959109872072386,154.28369501477138
64.28073117284319,0,-0.0015959109872072386,154.28369501477138
54.62277217684343,0,-0.0015959109872072386,154.28369501477138
46.41588833612782,0,-0.0015959109872072386,154.28369501477138
39.442060594376564,0,-0.0015959109872072386,154.28369501477138
33.51602650938844,0,-0.0015959109872072386,154.28369501477138
28.48035868435802,0,-0.0015959109872072386,154.28369501477138
24.201282647943835,0,-0.0015959109872072386,154.28369501477138
20.565123083486515,0,-0.0015959109872072386,154.28369501477138
17.475284000076847,0,-0.0015959109872072386,154.28369501477138
14.84968262254465,0,-0.0015959109872072386,154.28369501477138
12.61856883066021,0,-0.0015959109872072386,154.28369501477138
10.722672220103231,0,-0.0015959109872072386,154.28369501477138
9.111627561154895,0,-0.0015959109872072386,154.28369501477138
7.742636826811269,0,-0.0015959109872072386,154.28369501477138
6.5793322465756825,0,-0.0015959109872072386,154.28369501477138
5.5908101825122225,1,0.03684254741579096,148.36271697559297
4.750810162102798,1,0.10175992084529917,138.3629834168902
4.037017258596558,1,0.15053354350402892,130.84999874862396
3.4304692863149193,3,0.19558427047129734,123.9104809816624
2.9150530628251787,3,0.2583012747815183,114.24968758275465
2.4770763559917115,5,0.3104176834401924,106.2217872982628
2.104904144512022,7,0.3559689804902454,99.20516278481928
1.7886495290574351,8,0.3941321919460292,93.3265831975434
1.5199110829529348,8,0.42114482249177465,89.16561527929507
1.291549665014884,8,0.438734504688011,86.45613820016436
1.0974987654930568,8,0.4498073517807313,84.75050048233999
0.9326033468832199,9,0.4584767982784702,83.41507745921113
0.7924828983539169,10,0.4680707695450562,81.93724261520153
0.6734150657750828,9,0.5073530908838895,75.88627773162962
0.572236765935022,9,0.5290553700871341,72.54330499283458
0.4862601580065353,10,0.5404176165815133,70.79308880925052
0.41320124001153347,11,0.5421004164250041,70.53387391532372
0.35111917342151344,13,0.5501975821051437,69.2866038071147
0.298364724028334,15,0.5584179073544231,68.02036246190794
0.25353644939701114,17,0.5607500634004887,67.66112212537001
0.21544346900318867,18,0.5605993990746883,67.68433013634171
0.18307382802953698,18,0.5611240554443881,67.60351318966454
0.15556761439304723,21,0.5877080760675903,63.508567428500285
0.13219411484660287,22,0.6004128336758399,61.55155370014371
0.11233240329780288,22,0.5984314725255633,61.8567583401288
0.09545484566618347,21,0.5949722989253783,62.389602053725895
0.08111308307896872,21,0.5906472975032951,63.05581603585511
0.06892612104349695,21,0.6088585752829965,60.25058970059245
0.058570208180566734,22,0.6335329402013985,56.44980322573379
0.04977023564332114,22,0.648000383700581,54.221269127315495
0.04229242874389499,24,0.6559065124289867,53.00342594315293
0.03593813663804626,26,0.6589462347607407,52.535193607120675
0.030538555088334186,27,0.6576331833401281,52.73745324366094
0.025950242113997372,28,0.6527318074898774,53.49245071173918
0.022051307399030457,28,0.6458633956827042,54.550446197612615
0.01873817422860387,28,0.6380609209884327,55.75232273573161
0.01592282793341094,27,0.6300826062079417,56.981285305189274
0.013530477745798075,26,0.6226538894781584,58.125588964695375
0.011497569953977356,26,0.6155428743392761,59.22095454965606
0.009770099572992266,26,0.608585892821689,60.29259312456286
0.008302175681319753,25,0.6009410088435161,61.470194725341365
0.007054802310718645,26,0.5933552164030885,62.638693991847695
0.005994842503189409,27,0.5904894228027433,63.08013471755428
0.005094138014816386,28,0.5875498155931846,63.53294553398
0.004328761281083062,28,0.584687430509943,63.97386121899153
0.0036783797718286343,28,0.5821722502407072,64.36129421598078
0.0031257158496882354,29,0.5799428620921564,64.70470440506746
0.0026560877829466894,29,0.5778594979203808,65.02562137263587
0.0022570197196339213,29,0.5760529897140161,65.30389203857513
0.0019179102616724887,29,0.5744917943939165,65.54437523143015
0.0016297508346206468,29,0.5731463218919719,65.75162894209694
0.0013848863713938745,29,0.5719943742209131,65.92907250112609
0.0011768119524349992,28,0.5710641305296639,66.07236525259974
0.001,29,0.5702044206067962,66.20479313303123
