"lambda","nonzero"
10000,0
8497.53435908646,0
7220.80901838547,0
6135.90727341318,0
5214.00828799969,0
4430.62145758389,0
3764.93580679247,0
3199.26713779739,0
2718.58824273294,0
2310.12970008316,0
1963.04065004027,0
1668.10053720006,0
1417.47416292681,0
1204.50354025878,0
1023.53102189903,0
869.749002617784,0
739.072203352578,0
628.029144183426,0
533.669923120631,0
453.487850812858,0
385.352859371053,0
327.454916287773,0
278.255940220713,0
236.448941264541,0
200.923300256505,0
170.735264747069,0
145.082877849594,0
123.284673944207,0
104.761575278967,0
89.0215085445039,0
75.6463327554629,0
64.2807311728432,0
54.6227721768434,0
46.4158883361278,0
39.4420605943766,0
33.5160265093884,0
28.480358684358,0
24.2012826479438,0
20.5651230834865,0
17.4752840000768,0
14.8496826225446,0
12.6185688306602,0
10.7226722201032,0
9.1116275611549,0
7.74263682681127,0
6.57933224657568,0
5.59081018251223,1
4.7508101621028,1
4.03701725859656,1
3.43046928631492,2
2.91505306282518,2
2.47707635599171,3
2.10490414451202,3
1.78864952905743,3
1.51991108295293,3
1.29154966501488,3
1.09749876549306,4
0.932603346883219,4
0.792482898353918,4
0.673415065775082,4
0.572236765935022,4
0.486260158006535,4
0.413201240011534,4
0.351119173421513,4
0.298364724028334,4
0.253536449397011,4
0.215443469003188,4
0.183073828029537,4
0.155567614393047,4
0.132194114846603,4
0.112332403297803,4
0.0954548456661834,4
0.0811130830789687,4
0.068926121043497,4
0.0585702081805666,4
0.0497702356433211,4
0.042292428743895,4
0.0359381366380463,4
0.0305385550883341,4
0.0259502421139974,4
0.0220513073990304,4
0.0187381742286038,4
0.0159228279334109,4
0.0135304777457981,4
0.0114975699539774,4
0.00977009957299225,4
0.00830217568131975,4
0.00705480231071864,4
0.00599484250318941,4
0.00509413801481637,4
0.00432876128108306,4
0.00367837977182863,5
0.00312571584968824,5
0.00265608778294668,5
0.00225701971963392,5
0.00191791026167249,5
0.00162975083462064,5
0.00138488637139387,5
0.001176811952435,5
0.001,5
